state,stateRegion,stateCensusDivision,stateCatMix
ALABAMA,South,East South Central,East South Central
ALASKA,West,Pacific,West
ARIZONA,West,Mountain,West
ARKANSAS,South,West South Central,West South Central
CALIFORNIA,West,Pacific,West
COLORADO,West,Mountain,West
CONNECTICUT,Northeast,New England,New England
DELAWARE,South,South Atlantic,South Atlantic
DISTRICT OF COLUMBIA,South,South Atlantic,South Atlantic
FLORIDA,South,South Atlantic,South Atlantic
GEORGIA,South,South Atlantic,South Atlantic
HAWAII,West,Pacific,West
IDAHO,West,Mountain,West
ILLINOIS,Midwest,East North Central,East North Central
INDIANA,Midwest,East North Central,East North Central
IOWA,Midwest,West North Central,West North Central
KANSAS,Midwest,West North Central,West North Central
KENTUCKY,South,East South Central,East South Central
LOUISIANA,South,West South Central,West South Central
MAINE,Northeast,New England,New England
MARYLAND,South,South Atlantic,South Atlantic
MASSACHUSETTS,Northeast,New England,New England
MICHIGAN,Midwest,East North Central,East North Central
MINNESOTA,Midwest,West North Central,West North Central
MISSISSIPPI,South,East South Central,East South Central
MISSOURI,Midwest,West North Central,West North Central
MONTANA,West,Mountain,West
NEBRASKA,Midwest,West North Central,West North Central
NEVADA,West,Mountain,West
NEW HAMPSHIRE,Northeast,New England,New England
NEW MEXICO,West,Mountain,West
NEW JERSEY,Northeast,Mid-Atlantic,Mid-Atlantic
NEW YORK,Northeast,Mid-Atlantic,New York
NORTH CAROLINA,South,South Atlantic,South Atlantic
NORTH DAKOTA,Midwest,West North Central,West North Central
OHIO,Midwest,East North Central,East North Central
OKLAHOMA,South,West South Central,West South Central
OREGON,West,Pacific,West
PENNSYLVANIA,Northeast,Mid-Atlantic,Mid-Atlantic
PUERTO RICO,,,
RHODE ISLAND,Northeast,New England,New England
SOUTH CAROLINA,South,South Atlantic,South Atlantic
SOUTH DAKOTA,Midwest,West North Central,West North Central
TENNESSEE,South,East South Central,East South Central
TEXAS,South,West South Central,West South Central
UTAH,West,Mountain,West
VERMONT,Northeast,New England,New England
VIRGINIA,South,South Atlantic,South Atlantic
WASHINGTON,West,Pacific,West
WEST VIRGINIA,South,South Atlantic,South Atlantic
WISCONSIN,Midwest,East North Central,East North Central
WYOMING,West,Mountain,West